seed,step,acc0,acc1,frac_pos0,frac_pos1,best_pos0,best_pos1,pick_pos0,pick_pos1,gap0,gap1
1,0,0.266484,0.244505,0.830000,0.880000,0.01108831,0.01219614,0.00810936,0.00882451,0.00297895,0.00337163
1,500,0.467033,0.546703,0.486667,0.116667,0.00980355,0.00659341,0.00797832,0.00400314,0.00182523,0.00259027
1,1000,0.456044,0.453297,0.513333,0.406667,0.00784929,0.00774635,0.00519124,0.00524680,0.00265806,0.00249955
1,2000,0.521978,0.469780,0.376667,0.443333,0.00666148,0.00815913,0.00427891,0.00539123,0.00238257,0.00276791
1,3000,0.615385,0.478022,0.410000,0.266667,0.00790673,0.00690247,0.00634325,0.00394918,0.00156348,0.00295330
1,5000,0.620879,0.478022,0.410000,0.250000,0.00781739,0.00677656,0.00634325,0.00369963,0.00147414,0.00307692
1,8000,0.629121,0.480769,0.333333,0.443333,0.00953297,0.00687846,0.00728022,0.00431711,0.00225275,0.00256135
1,12000,0.629121,0.491758,0.276667,0.340000,0.00731497,0.00681426,0.00582550,0.00412088,0.00148947,0.00269339
1,20000,0.722527,0.620879,0.120000,0.086667,0.00595238,0.00549451,0.00442613,0.00232460,0.00152625,0.00316991
1,30000,0.821429,0.708791,0.000000,0.010000,-1.00000000,0.00549451,-1.00000000,-0.00091575,-1.00000000,0.00641026
1,50000,0.887363,0.739011,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
1,80000,0.912088,0.752747,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
1,120000,0.914835,0.758242,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
1,200000,0.917582,0.758242,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
1,300000,0.923077,0.760989,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
2,0,0.282967,0.285714,0.820000,0.833333,0.01301036,0.01272527,0.00993925,0.00972527,0.00307112,0.00300000
2,500,0.535714,0.431319,0.340000,0.543333,0.00824176,0.00837659,0.00511743,0.00520798,0.00312433,0.00316861
2,1000,0.505495,0.458791,0.380000,0.620000,0.00756699,0.00837469,0.00510893,0.00539111,0.00245807,0.00298358
2,2000,0.502747,0.467033,0.536667,0.433333,0.00952153,0.00741758,0.00721794,0.00469146,0.00230360,0.00272612
2,3000,0.532967,0.513736,0.586667,0.330000,0.00945929,0.00715951,0.00738324,0.00352425,0.00207605,0.00363525
2,5000,0.549451,0.486264,0.476667,0.380000,0.00820334,0.00739830,0.00551372,0.00441006,0.00268962,0.00298824
2,8000,0.486264,0.486264,0.416667,0.370000,0.00802198,0.00804376,0.00509890,0.00480150,0.00292308,0.00324225
2,12000,0.612637,0.464286,0.280000,0.630000,0.00801282,0.00928833,0.00605050,0.00654108,0.00196232,0.00274725
2,20000,0.681319,0.535714,0.193333,0.306667,0.00544714,0.00624104,0.00369458,0.00232919,0.00175256,0.00391185
2,30000,0.793956,0.711538,0.023333,0.000000,0.00392465,-1.00000000,0.00235479,-1.00000000,0.00156986,-1.00000000
2,50000,0.892857,0.739011,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
2,80000,0.901099,0.747253,0.003333,0.000000,0.00274725,-1.00000000,0.00274725,-1.00000000,0.00000000,-1.00000000
2,120000,0.912088,0.760989,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
2,200000,0.914835,0.771978,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
2,300000,0.931319,0.777473,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
3,0,0.247253,0.200549,0.886667,0.913333,0.01320953,0.01522018,0.01082376,0.01242280,0.00238577,0.00279739
3,500,0.461538,0.420330,0.563333,0.630000,0.00777034,0.00908483,0.00490929,0.00641026,0.00286104,0.00267457
3,1000,0.483516,0.428571,0.566667,0.630000,0.00840336,0.00883772,0.00620556,0.00614861,0.00219780,0.00268911
3,2000,0.489011,0.489011,0.463333,0.350000,0.00911139,0.00664574,0.00630485,0.00290424,0.00280655,0.00374150
3,3000,0.521978,0.491758,0.426667,0.226667,0.00671789,0.00642372,0.00414234,0.00367647,0.00257555,0.00274725
3,5000,0.585165,0.453297,0.290000,0.520000,0.00663130,0.00906946,0.00432613,0.00628698,0.00230517,0.00278247
3,8000,0.648352,0.483516,0.230000,0.396667,0.00796305,0.00819559,0.00692785,0.00554068,0.00103520,0.00265491
3,12000,0.629121,0.505495,0.263333,0.246667,0.00639866,0.00683101,0.00483377,0.00415800,0.00156489,0.00267300
3,20000,0.780220,0.576923,0.026667,0.126667,0.00343407,0.00650665,0.00034341,0.00325333,0.00309066,0.00325333
3,30000,0.881868,0.717033,0.010000,0.006667,0.00274725,0.00412088,0.00274725,0.00137363,0.00000000,0.00274725
3,50000,0.906593,0.728022,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
3,80000,0.909341,0.752747,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
3,120000,0.920330,0.758242,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
3,200000,0.920330,0.766484,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
3,300000,0.920330,0.785714,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
4,0,0.269231,0.236264,0.863333,0.876667,0.01279223,0.01293193,0.01002376,0.01002799,0.00276847,0.00290394
4,500,0.494505,0.461538,0.506667,0.476667,0.00921776,0.00708906,0.00647050,0.00430339,0.00274725,0.00278568
4,1000,0.486264,0.521978,0.413333,0.203333,0.00895073,0.00544947,0.00631425,0.00238696,0.00263648,0.00306251
4,2000,0.494505,0.450549,0.513333,0.480000,0.00888397,0.00833715,0.00658270,0.00545635,0.00230127,0.00288080
4,3000,0.563187,0.456044,0.340000,0.483333,0.00775695,0.00858280,0.00638332,0.00606290,0.00137363,0.00251989
4,5000,0.579670,0.510989,0.526667,0.256667,0.00848519,0.00624376,0.00672903,0.00292565,0.00175616,0.00331811
4,8000,0.656593,0.472527,0.250000,0.336667,0.00673993,0.00758895,0.00509158,0.00435208,0.00164835,0.00323686
4,12000,0.634615,0.478022,0.236667,0.616667,0.00630707,0.00861301,0.00441108,0.00583606,0.00189599,0.00277695
4,20000,0.788462,0.543956,0.060000,0.220000,0.00473138,0.00582751,0.00427350,0.00316350,0.00045788,0.00266400
4,30000,0.881868,0.697802,0.003333,0.006667,0.00274725,0.00274725,0.00274725,-0.00274725,0.00000000,0.00549451
4,50000,0.901099,0.722527,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
4,80000,0.909341,0.730769,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
4,120000,0.923077,0.730769,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
4,200000,0.923077,0.755495,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
4,300000,0.928571,0.769231,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
5,0,0.250000,0.239011,0.823333,0.903333,0.01226810,0.01402011,0.00927615,0.01112080,0.00299195,0.00289931
5,500,0.568681,0.453297,0.433333,0.540000,0.00809383,0.00781780,0.00642434,0.00547755,0.00166948,0.00234025
5,1000,0.571429,0.450549,0.436667,0.463333,0.00713027,0.00936833,0.00482342,0.00677919,0.00230685,0.00258914
5,2000,0.521978,0.502747,0.376667,0.320000,0.00819313,0.00804144,0.00515414,0.00495078,0.00303900,0.00309066
5,3000,0.593407,0.445055,0.230000,0.606667,0.00469820,0.00889083,0.00230928,0.00547941,0.00238892,0.00341142
5,5000,0.576923,0.469780,0.310000,0.493333,0.00611485,0.00991238,0.00496278,0.00716513,0.00115207,0.00274725
5,8000,0.565934,0.530220,0.516667,0.176667,0.00827721,0.00580552,0.00638072,0.00243624,0.00189649,0.00336927
5,12000,0.656593,0.489011,0.226667,0.296667,0.00658533,0.00743919,0.00480769,0.00373503,0.00177763,0.00370416
5,20000,0.686813,0.565934,0.206667,0.243333,0.00651365,0.00572031,0.00487416,0.00334939,0.00163949,0.00237092
5,30000,0.879121,0.695055,0.006667,0.003333,0.00412088,0.00274725,0.00137363,-0.00549451,0.00274725,0.00824176
5,50000,0.909341,0.722527,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
5,80000,0.912088,0.728022,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
5,120000,0.920330,0.747253,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
5,200000,0.950549,0.752747,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
5,300000,0.956044,0.758242,0.000000,0.006667,-1.00000000,0.00274725,-1.00000000,0.00274725,-1.00000000,0.00000000
6,0,0.293956,0.288462,0.796667,0.776667,0.01157524,0.01127199,0.00878201,0.00784087,0.00279323,0.00343112
6,500,0.530220,0.491758,0.400000,0.433333,0.00803571,0.00731192,0.00540293,0.00418428,0.00263278,0.00312764
6,1000,0.549451,0.489011,0.460000,0.463333,0.00786351,0.00715472,0.00621118,0.00399241,0.00165233,0.00316231
6,2000,0.519231,0.475275,0.523333,0.413333,0.00741933,0.00766572,0.00552950,0.00536157,0.00188983,0.00230415
6,3000,0.519231,0.447802,0.346667,0.676667,0.00663039,0.00868836,0.00369822,0.00534564,0.00293216,0.00334272
6,5000,0.480769,0.483516,0.456667,0.416667,0.00790086,0.00709890,0.00465228,0.00336264,0.00324858,0.00373626
6,8000,0.609890,0.489011,0.226667,0.446667,0.00694893,0.00934886,0.00496930,0.00606856,0.00197964,0.00328030
6,12000,0.590659,0.524725,0.453333,0.220000,0.00775695,0.00653513,0.00601972,0.00374625,0.00173723,0.00278888
6,20000,0.750000,0.576923,0.053333,0.216667,0.00532280,0.00638208,0.00326236,0.00300085,0.00206044,0.00338123
6,30000,0.832418,0.667582,0.020000,0.043333,0.00412088,0.00591716,0.00412088,0.00316991,0.00000000,0.00274725
6,50000,0.895604,0.741758,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
6,80000,0.895604,0.747253,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
6,120000,0.912088,0.755495,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
6,200000,0.923077,0.758242,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
6,300000,0.931319,0.763736,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
7,0,0.258242,0.296703,0.900000,0.740000,0.01325804,0.00934313,0.01063289,0.00631126,0.00262515,0.00303188
7,500,0.530220,0.475275,0.503333,0.413333,0.00751401,0.00737770,0.00523979,0.00434243,0.00227422,0.00303527
7,1000,0.554945,0.423077,0.493333,0.713333,0.00902138,0.00935863,0.00748069,0.00676543,0.00154069,0.00259320
7,2000,0.587912,0.453297,0.440000,0.553333,0.00776307,0.00799351,0.00559857,0.00417053,0.00216450,0.00382298
7,3000,0.598901,0.478022,0.396667,0.380000,0.00717979,0.00759109,0.00496352,0.00467515,0.00221627,0.00291594
7,5000,0.571429,0.489011,0.440000,0.420000,0.00878288,0.00730420,0.00661838,0.00464417,0.00216450,0.00266004
7,8000,0.612637,0.478022,0.246667,0.486667,0.00582863,0.00792187,0.00393525,0.00513699,0.00189338,0.00278489
7,12000,0.631868,0.505495,0.276667,0.383333,0.00668608,0.00673674,0.00539521,0.00329670,0.00129088,0.00344004
7,20000,0.711538,0.587912,0.130000,0.150000,0.00619893,0.00482295,0.00387433,0.00170940,0.00232460,0.00311355
7,30000,0.879121,0.670330,0.000000,0.020000,-1.00000000,0.00320513,-1.00000000,0.00091575,-1.00000000,0.00228938
7,50000,0.901099,0.730769,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
7,80000,0.920330,0.760989,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
7,120000,0.923077,0.766484,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
7,200000,0.925824,0.777473,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
7,300000,0.925824,0.777473,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
8,0,0.225275,0.228022,0.960000,0.906667,0.01399382,0.01499879,0.01102717,0.01260504,0.00296665,0.00239375
8,500,0.568681,0.478022,0.253333,0.383333,0.00603673,0.00785953,0.00365095,0.00453894,0.00238577,0.00332059
8,1000,0.546703,0.423077,0.543333,0.583333,0.00923616,0.00874411,0.00734848,0.00562009,0.00188768,0.00312402
8,2000,0.535714,0.423077,0.333333,0.553333,0.00604396,0.00847345,0.00296703,0.00524626,0.00307692,0.00322719
8,3000,0.543956,0.453297,0.470000,0.653333,0.00810537,0.01006392,0.00644922,0.00733068,0.00165615,0.00273324
8,5000,0.541209,0.450549,0.380000,0.520000,0.00727781,0.00788955,0.00549451,0.00491336,0.00178330,0.00297619
8,8000,0.571429,0.469780,0.486667,0.596667,0.00878745,0.00951562,0.00588966,0.00670698,0.00289779,0.00280864
8,12000,0.629121,0.541209,0.286667,0.276667,0.00741119,0.00688468,0.00559034,0.00387263,0.00182085,0.00301205
8,20000,0.755495,0.543956,0.110000,0.176667,0.00507826,0.00471698,0.00407925,0.00186606,0.00099900,0.00285092
8,30000,0.851648,0.623626,0.003333,0.036667,0.00274725,0.00399600,-0.00274725,-0.00049950,0.00549451,0.00449550
8,50000,0.901099,0.725275,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
8,80000,0.912088,0.739011,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
8,120000,0.917582,0.747253,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
8,200000,0.917582,0.752747,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
8,300000,0.923077,0.752747,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
9,0,0.211538,0.258242,0.933333,0.876667,0.01505102,0.01369448,0.01238226,0.01037271,0.00266876,0.00332177
9,500,0.527473,0.469780,0.323333,0.480000,0.00960122,0.00818452,0.00750538,0.00505571,0.00209584,0.00312882
9,1000,0.453297,0.414835,0.633333,0.693333,0.00880567,0.00997200,0.00620301,0.00633981,0.00260266,0.00363219
9,2000,0.524725,0.497253,0.360000,0.450000,0.00686813,0.00858771,0.00371388,0.00551486,0.00315425,0.00307285
9,3000,0.491758,0.489011,0.450000,0.393333,0.00891331,0.00682157,0.00604396,0.00444682,0.00286935,0.00237474
9,5000,0.502747,0.450549,0.493333,0.526667,0.00837170,0.00891988,0.00616276,0.00674642,0.00220894,0.00217346
9,8000,0.609890,0.494505,0.426667,0.430000,0.00764080,0.00728341,0.00598815,0.00413153,0.00165264,0.00315189
9,12000,0.634615,0.494505,0.263333,0.376667,0.00622479,0.00860644,0.00424259,0.00605368,0.00198220,0.00255276
9,20000,0.736264,0.560440,0.126667,0.246667,0.00542221,0.00657113,0.00419318,0.00282150,0.00122903,0.00374963
9,30000,0.870879,0.659341,0.003333,0.050000,0.00274725,0.00476190,0.00274725,0.00183150,0.00000000,0.00293040
9,50000,0.890110,0.766484,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
9,80000,0.906593,0.774725,0.000000,0.003333,-1.00000000,0.00549451,-1.00000000,0.00549451,-1.00000000,0.00000000
9,120000,0.931319,0.780220,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
9,200000,0.947802,0.780220,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
9,300000,0.950549,0.780220,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
10,0,0.258242,0.258242,0.856667,0.843333,0.01263522,0.01375798,0.00983452,0.01142336,0.00280070,0.00233462
10,500,0.502747,0.450549,0.336667,0.600000,0.00780655,0.00863858,0.00454249,0.00543346,0.00326406,0.00320513
10,1000,0.486264,0.461538,0.513333,0.500000,0.00779578,0.00952381,0.00462038,0.00653846,0.00317540,0.00298535
10,2000,0.486264,0.458791,0.506667,0.510000,0.00900087,0.00842132,0.00630784,0.00506356,0.00269303,0.00335775
10,3000,0.491758,0.469780,0.510000,0.470000,0.00957049,0.00748188,0.00698485,0.00450082,0.00258565,0.00298106
10,5000,0.480769,0.442308,0.420000,0.396667,0.00830717,0.00810324,0.00505843,0.00528673,0.00324874,0.00281651
10,8000,0.557692,0.472527,0.340000,0.363333,0.00778388,0.00811574,0.00614092,0.00546930,0.00164296,0.00264644
10,12000,0.626374,0.491758,0.286667,0.340000,0.00568617,0.00791855,0.00396116,0.00479423,0.00172502,0.00312433
10,20000,0.736264,0.560440,0.146667,0.273333,0.00505744,0.00706915,0.00312188,0.00328330,0.00193556,0.00378585
10,30000,0.862637,0.670330,0.006667,0.003333,0.00274725,0.00274725,0.00274725,-0.00549451,0.00000000,0.00824176
10,50000,0.909341,0.725275,0.000000,0.003333,-1.00000000,0.00274725,-1.00000000,0.00274725,-1.00000000,0.00000000
10,80000,0.920330,0.741758,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
10,120000,0.939560,0.758242,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
10,200000,0.939560,0.763736,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
10,300000,0.939560,0.777473,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
